date,area,projected_workers,actual_workers,attendance_rate,kg_harvested,worker_gap,attendance_alert,critical_gap,kg_per_worker,operational_status
2026-05-20,Biloxi,152,151,99.3,4594,1,False,False,30.42,Normal
2026-05-20,Ventura,113,104,92.0,5441,9,True,False,52.32,Attendance Risk
2026-05-20,Rocío,109,98,89.9,8165,11,True,True,83.32,Critical Gap
2026-05-20,Emerald,99,94,94.9,8694,5,True,False,92.49,Attendance Risk
2026-05-20,Packing Plant,38,38,100.0,0,0,False,False,0.0,Normal
2026-05-20,Field Operations,24,22,91.7,0,2,True,False,0.0,Attendance Risk
2026-05-20,Quality Control,18,16,88.9,0,2,True,False,0.0,Attendance Risk
2026-05-21,Biloxi,125,116,92.8,7176,9,True,False,61.86,Attendance Risk
2026-05-21,Ventura,142,134,94.4,7062,8,True,False,52.7,Attendance Risk
2026-05-21,Rocío,147,135,91.8,6063,12,True,True,44.91,Critical Gap
2026-05-21,Emerald,128,127,99.2,4839,1,False,False,38.1,Normal
2026-05-21,Packing Plant,42,39,92.9,0,3,True,False,0.0,Attendance Risk
2026-05-21,Field Operations,55,50,90.9,0,5,True,False,0.0,Attendance Risk
2026-05-21,Quality Control,45,43,95.6,0,2,False,False,0.0,Normal
2026-05-22,Biloxi,120,115,95.8,9433,5,False,False,82.03,Normal
2026-05-22,Ventura,92,85,92.4,6542,7,True,False,76.96,Attendance Risk
2026-05-22,Rocío,142,142,100.0,8452,0,False,False,59.52,Normal
2026-05-22,Emerald,107,103,96.3,5202,4,False,False,50.5,Normal
2026-05-22,Packing Plant,33,33,100.0,0,0,False,False,0.0,Normal
2026-05-22,Field Operations,55,50,90.9,0,5,True,False,0.0,Attendance Risk
2026-05-22,Quality Control,56,55,98.2,0,1,False,False,0.0,Normal
2026-05-23,Biloxi,117,113,96.6,9191,4,False,False,81.34,Normal
2026-05-23,Ventura,95,90,94.7,6091,5,True,False,67.68,Attendance Risk
2026-05-23,Rocío,124,123,99.2,5010,1,False,False,40.73,Normal
2026-05-23,Emerald,123,118,95.9,7847,5,False,False,66.5,Normal
2026-05-23,Packing Plant,18,14,77.8,0,4,True,False,0.0,Attendance Risk
2026-05-23,Field Operations,28,27,96.4,0,1,False,False,0.0,Normal
2026-05-23,Quality Control,25,23,92.0,0,2,True,False,0.0,Attendance Risk
2026-05-24,Biloxi,150,144,96.0,8775,6,False,False,60.94,Normal
2026-05-24,Ventura,110,105,95.5,6604,5,False,False,62.9,Normal
2026-05-24,Rocío,133,131,98.5,9496,2,False,False,72.49,Normal
2026-05-24,Emerald,99,96,97.0,5374,3,False,False,55.98,Normal
2026-05-24,Packing Plant,31,31,100.0,0,0,False,False,0.0,Normal
2026-05-24,Field Operations,57,56,98.2,0,1,False,False,0.0,Normal
2026-05-24,Quality Control,48,47,97.9,0,1,False,False,0.0,Normal
2026-05-25,Biloxi,148,140,94.6,9208,8,True,False,65.77,Attendance Risk
2026-05-25,Ventura,118,112,94.9,5049,6,True,False,45.08,Attendance Risk
2026-05-25,Rocío,158,150,94.9,6780,8,True,False,45.2,Attendance Risk
2026-05-25,Emerald,144,136,94.4,5096,8,True,False,37.47,Attendance Risk
2026-05-25,Packing Plant,52,50,96.2,0,2,False,False,0.0,Normal
2026-05-25,Field Operations,48,45,93.8,0,3,True,False,0.0,Attendance Risk
2026-05-25,Quality Control,40,35,87.5,0,5,True,False,0.0,Attendance Risk
2026-05-26,Biloxi,125,114,91.2,4642,11,True,True,40.72,Critical Gap
2026-05-26,Ventura,124,117,94.4,8975,7,True,False,76.71,Attendance Risk
2026-05-26,Rocío,149,141,94.6,6104,8,True,False,43.29,Attendance Risk
2026-05-26,Emerald,111,102,91.9,8829,9,True,False,86.56,Attendance Risk
2026-05-26,Packing Plant,32,30,93.8,0,2,True,False,0.0,Attendance Risk
2026-05-26,Field Operations,29,29,100.0,0,0,False,False,0.0,Normal
2026-05-26,Quality Control,16,16,100.0,0,0,False,False,0.0,Normal
