date,area,projected_workers,actual_workers,attendance_rate,kg_harvested
2026-05-20,Biloxi,152,151,99.3,4594
2026-05-20,Ventura,113,104,92.0,5441
2026-05-20,Rocío,109,98,89.9,8165
2026-05-20,Emerald,99,94,94.9,8694
2026-05-20,Packing Plant,38,38,100.0,0
2026-05-20,Field Operations,24,22,91.7,0
2026-05-20,Quality Control,18,16,88.9,0
2026-05-21,Biloxi,125,116,92.8,7176
2026-05-21,Ventura,142,134,94.4,7062
2026-05-21,Rocío,147,135,91.8,6063
2026-05-21,Emerald,128,127,99.2,4839
2026-05-21,Packing Plant,42,39,92.9,0
2026-05-21,Field Operations,55,50,90.9,0
2026-05-21,Quality Control,45,43,95.6,0
2026-05-22,Biloxi,120,115,95.8,9433
2026-05-22,Ventura,92,85,92.4,6542
2026-05-22,Rocío,142,142,100.0,8452
2026-05-22,Emerald,107,103,96.3,5202
2026-05-22,Packing Plant,33,33,100.0,0
2026-05-22,Field Operations,55,50,90.9,0
2026-05-22,Quality Control,56,55,98.2,0
2026-05-23,Biloxi,117,113,96.6,9191
2026-05-23,Ventura,95,90,94.7,6091
2026-05-23,Rocío,124,123,99.2,5010
2026-05-23,Emerald,123,118,95.9,7847
2026-05-23,Packing Plant,18,14,77.8,0
2026-05-23,Field Operations,28,27,96.4,0
2026-05-23,Quality Control,25,23,92.0,0
2026-05-24,Biloxi,150,144,96.0,8775
2026-05-24,Ventura,110,105,95.5,6604
2026-05-24,Rocío,133,131,98.5,9496
2026-05-24,Emerald,99,96,97.0,5374
2026-05-24,Packing Plant,31,31,100.0,0
2026-05-24,Field Operations,57,56,98.2,0
2026-05-24,Quality Control,48,47,97.9,0
2026-05-25,Biloxi,148,140,94.6,9208
2026-05-25,Ventura,118,112,94.9,5049
2026-05-25,Rocío,158,150,94.9,6780
2026-05-25,Emerald,144,136,94.4,5096
2026-05-25,Packing Plant,52,50,96.2,0
2026-05-25,Field Operations,48,45,93.8,0
2026-05-25,Quality Control,40,35,87.5,0
2026-05-26,Biloxi,125,114,91.2,4642
2026-05-26,Ventura,124,117,94.4,8975
2026-05-26,Rocío,149,141,94.6,6104
2026-05-26,Emerald,111,102,91.9,8829
2026-05-26,Packing Plant,32,30,93.8,0
2026-05-26,Field Operations,29,29,100.0,0
2026-05-26,Quality Control,16,16,100.0,0
